Account_Id,Trans_Id,Age,Followers,NAME_CONTRACT_TYPE,GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,Label,results,src_port,dst_port,protocol,src_private,dst_private,credit_income_ratio,annuity_income_ratio,goods_income_ratio,followers_log,followers_neg
172.217.12.206-10.42.0.151-443-58146-6,100048,23,1270,Cash loans,F,202500.0,604152.0,29196.0,540000.0,Working,Married,0,0,443,58146,6,False,True,2.9834519335706986,0.1441770657922677,2.6666534980074172,7.147559271189454,0
10.42.0.211-64.71.142.124-57270-443-6,100049,59,2010,Cash loans,F,135000.0,288873.0,16258.5,238500.0,Working,Civil marriage,0,0,57270,443,6,True,False,2.139784149747039,0.120432441241176,1.7666535803438492,7.606387389772652,0
219.142.78.162-10.42.0.151-80-54612-6,100050,24,1370,Cash loans,F,108000.0,746280.0,42970.5,675000.0,Pensioner,Single / not married,1,1,80,54612,6,False,True,6.909936019110934,0.3978713160063333,6.249942130165461,7.223295679562314,0
10.42.0.211-104.97.95.172-48477-80-6,100051,44,1380,Cash loans,M,202500.0,661702.5,48280.5,598500.0,Working,Civil marriage,0,0,48477,80,6,True,False,3.267650530120839,0.2384210448343465,2.9555409602915543,7.2305631534092925,0
10.42.0.211-103.7.30.118-34093-80-6,100052,50,1380,Revolving loans,F,90000.0,180000.0,9000.0,180000.0,Working,Civil marriage,0,0,34093,80,6,True,False,1.9999777780246886,0.09999888890123443,1.9999777780246886,7.2305631534092925,0
10.42.0.151-104.193.88.109-48416-80-6,100053,37,1380,Cash loans,F,202500.0,305221.5,17649.0,252000.0,Pensioner,Single / not married,1,1,48416,80,6,True,False,1.5072592234112425,0.08715512515987575,1.2444382990701282,7.2305631534092925,0
10.42.0.211-10.42.0.1-61516-53-17,100054,40,1380,Cash loans,F,99000.0,260640.0,26838.0,225000.0,Working,Married,0,0,61516,53,17,True,True,2.6327006797911134,0.2710881708265573,2.272704316118019,7.2305631534092925,0
10.42.0.1-10.42.0.42-53-6306-17,100055,30,1662,Cash loans,F,130500.0,1350000.0,37255.5,1350000.0,State servant,Married,1,1,53,6306,17,True,True,10.344748316104857,0.28548057103010704,10.344748316104857,7.416378479192928,0
172.217.11.34-10.42.0.211-443-57957-6,100056,56,1662,Cash loans,M,360000.0,1506816.0,49927.5,1350000.0,Working,Married,1,1,443,57957,6,False,True,4.185588373365629,0.13868711475801457,3.7499895833622685,7.416378479192928,0
10.42.0.211-31.13.71.3-36726-443-6,100058,20,5764,Revolving loans,F,54000.0,135000.0,6750.0,135000.0,State servant,Married,1,1,36726,443,6,True,False,2.4999537045610265,0.12499768522805134,2.4999537045610265,8.65956043270316,0
10.42.0.151-104.244.43.99-41235-443-6,100059,31,250,Cash loans,M,540000.0,675000.0,34596.0,675000.0,Commercial associate,Married,0,0,41235,443,6,True,False,1.2499976851894719,0.06406654802491106,1.2499976851894719,5.5254529391317835,0
172.217.12.142-10.42.0.211-443-55817-6,100060,40,5764,Cash loans,M,76500.0,454500.0,14661.0,454500.0,Working,Married,1,1,443,55817,6,False,True,5.941098809165894,0.19164455366596514,5.941098809165894,8.65956043270316,0
172.217.6.193-10.42.0.211-443-42975-6,100061,30,5764,Cash loans,F,225000.0,314055.0,16164.0,238500.0,Commercial associate,Married,0,0,443,42975,6,False,True,1.3957937964720157,0.07183968071253016,1.059995288909827,8.65956043270316,0
10.42.0.211-10.42.0.1-11261-53-17,100062,39,5764,Cash loans,M,81000.0,675000.0,32472.0,675000.0,Pensioner,Married,0,0,11261,53,17,True,True,8.333230453945013,0.4008839397044481,8.333230453945013,8.65956043270316,0
10.42.0.211-77.234.44.199-32795-80-6,100063,26,1712,Cash loans,F,180000.0,837427.5,45558.0,666000.0,Working,Married,0,0,32795,80,6,True,False,4.6523491536158135,0.2530985938967006,3.6999794445586414,7.44600149832412,0
172.217.12.142-10.42.0.42-443-40997-17,100064,29,5764,Cash loans,F,67500.0,298728.0,15381.0,202500.0,Pensioner,Single / not married,0,0,443,40997,17,False,True,4.425534436526866,0.22786329091420868,2.999955556213982,8.65956043270316,0
172.217.12.206-10.42.0.151-443-41753-6,100068,40,2429,Revolving loans,M,81000.0,247500.0,12375.0,247500.0,Working,Married,1,1,443,41753,6,False,True,3.0555178331131714,0.15277589165565858,3.0555178331131714,7.795646536334594,0
10.42.0.211-121.12.98.62-47804-80-6,100069,27,3687,Cash loans,M,360000.0,640458.0,27265.5,517500.0,Working,Separated,0,0,47804,80,6,True,False,1.7790450582081716,0.07573728961863994,1.4374960069555363,8.212839584676484,0
10.42.0.151-101.226.103.112-34762-80-6,100070,40,1680,Cash loans,M,540000.0,1227901.5,46899.0,1129500.0,Working,Widow,1,1,34762,80,6,True,False,2.2738874557639708,0.08684983916696451,2.0916627932170497,7.427144133408616,0
172.217.10.67-10.42.0.151-443-50727-6,100071,50,9290,Cash loans,F,180000.0,1663987.5,86989.5,1588500.0,Commercial associate,Married,0,0,443,50727,6,False,True,9.24432364264643,0.4832723151538047,8.824950972494598,9.136801468641313,0
10.42.0.151-54.192.38.230-41259-443-6,100072,25,250,Cash loans,M,180000.0,1080000.0,44118.0,1080000.0,Working,Single / not married,0,0,41259,443,6,True,False,5.999966666851851,0.2450986383408981,5.999966666851851,5.5254529391317835,0
222.73.28.96-10.42.0.211-80-36911-6,100073,28,27065,Cash loans,M,324000.0,1130760.0,40189.5,810000.0,Pensioner,Civil marriage,0,0,80,36911,6,False,True,3.4899892284283074,0.12404128382319808,2.499992283974432,10.206033606636451,0
180.76.151.225-10.42.0.42-80-51631-6,100075,35,1090,Cash loans,F,112500.0,95940.0,10462.5,90000.0,Working,Single / not married,0,0,80,51631,6,False,True,0.8527924196229367,0.09299917334068142,0.7999928889520982,6.994849985833071,0
203.205.151.47-10.42.0.151-80-34427-6,100076,34,250,Cash loans,M,180000.0,315000.0,9679.5,315000.0,Commercial associate,Married,1,1,80,34427,6,False,True,1.7499902778317897,0.053774701251659715,1.7499902778317897,5.5254529391317835,0
10.42.0.42-113.108.216.233-44480-80-6,100077,31,915,Cash loans,M,180000.0,1256400.0,40657.5,900000.0,Commercial associate,Single / not married,0,0,44480,80,6,True,False,6.9799612224376535,0.2258737451458603,4.999972222376543,6.82001636467413,0
10.42.0.211-10.42.0.1-26725-53-17,100078,27,4460,Cash loans,F,180000.0,1035000.0,43983.0,1035000.0,State servant,Married,1,1,26725,53,17,True,True,5.7499680557330235,0.24434864250754162,5.7499680557330235,8.403128235128264,0
10.42.0.1-10.42.0.42-53-28340-17,100079,27,1806,Revolving loans,M,225000.0,270000.0,13500.0,270000.0,Working,Separated,1,1,53,28340,17,True,True,1.1999946666903702,0.05999973333451852,1.1999946666903702,7.499423290592229,0
8.0.6.4-8.6.0.1-0-0-0,100080,30,10031,Revolving loans,F,157500.0,450000.0,22500.0,450000.0,Commercial associate,Civil marriage,1,1,0,0,0,False,False,2.8571247166684657,0.14285623583342327,2.8571247166684657,9.213535262872702,0
10.42.0.211-123.125.115.164-46706-443-6,100081,30,1410,Cash loans,M,180000.0,450000.0,21109.5,450000.0,Commercial associate,Civil marriage,0,0,46706,443,6,True,False,2.4999861111882713,0.1172743484758418,2.4999861111882713,7.2520539518528135,0
172.217.12.142-10.42.0.211-443-58864-6,100082,50,250,Cash loans,M,180000.0,450000.0,21109.5,450000.0,Commercial associate,Married,0,0,443,58864,6,False,True,2.4999861111882713,0.1172743484758418,2.4999861111882713,5.5254529391317835,0
172.217.12.194-10.42.0.211-443-37446-6,100083,34,250,Cash loans,M,103500.0,573628.5,24435.0,463500.0,Working,Married,0,0,443,37446,6,False,True,5.542250799509183,0.23608467551038154,4.478217601762302,5.5254529391317835,0
10.42.0.211-10.42.0.1-18795-53-17,100084,41,5335,Cash loans,M,225000.0,495351.0,26140.5,459000.0,Working,Separated,0,0,18795,53,17,True,True,2.2015502153323765,0.11617948364673934,2.0399909333736295,8.58223158759546,0
10.42.0.42-123.125.29.138-42230-443-6,100085,32,1470,Cash loans,M,157500.0,755190.0,28894.5,675000.0,Working,Married,0,0,42230,443,6,True,False,4.794826699513019,0.18345597805728217,4.2856870750026985,7.293697720601438,0
157.55.56.174-10.42.0.42-40022-46360-17,100086,50,3880,Cash loans,F,135000.0,675000.0,21775.5,675000.0,Commercial associate,Widow,0,0,40022,46360,17,False,True,4.9999629632373095,0.1612988051940356,4.9999629632373095,8.263848131368906,0
198.11.136.24-10.42.0.42-443-44354-6,100087,38,1025,Cash loans,F,202500.0,1288350.0,37800.0,1125000.0,Working,Married,1,1,443,44354,6,False,True,6.36219080399603,0.1866657448605192,5.555528120848786,6.933423025730715,0
10.42.0.211-10.42.0.1-62939-53-17,100088,29,1950,Revolving loans,F,112500.0,135000.0,6750.0,135000.0,Commercial associate,Married,0,0,62939,53,17,True,True,1.1999893334281473,0.05999946667140737,1.1999893334281473,7.576097340623111,0
216.58.219.196-10.42.0.42-443-45664-6,100089,35,1090,Cash loans,M,135000.0,337761.0,15781.5,256500.0,Working,Civil marriage,0,0,443,45664,6,False,True,2.5019148006311065,0.1168991340804883,1.8999859260301775,6.994849985833071,0
10.42.0.211-10.42.0.1-35511-53-17,100093,25,1550,Cash loans,F,94500.0,585000.0,28273.5,585000.0,Working,Married,0,0,35511,53,17,True,True,6.1904106834848305,0.2991873101871938,6.1904106834848305,7.346655163176539,0
10.42.0.211-106.39.162.36-47297-80-6,100094,30,1300,Cash loans,F,108000.0,113760.0,5301.0,90000.0,Pensioner,Single / not married,1,1,47297,80,6,True,False,1.0533235803372192,0.049082878862232754,0.8333256173553949,7.170888478512505,0
172.217.10.10-10.42.0.151-443-51360-6,100095,47,1200,Revolving loans,F,67500.0,135000.0,6750.0,135000.0,Working,Married,1,1,443,51360,6,False,True,1.9999703708093213,0.09999851854046607,1.9999703708093213,7.0909098220799835,0
172.217.10.42-10.42.0.211-443-50132-6,100096,35,1902,Cash loans,F,81000.0,252000.0,14593.5,252000.0,Pensioner,Married,1,1,443,50132,6,False,True,3.1110727028061382,0.1801644424142912,3.1110727028061382,7.551186867296149,0
183.79.249.124-10.42.0.151-443-44500-6,100097,25,50,Cash loans,M,157500.0,760225.5,30280.5,679500.0,Working,Married,0,0,443,44500,6,False,True,4.8267979250925395,0.19225592218462104,4.314258322169383,3.9318256327243257,0
10.42.0.151-10.42.0.1-23638-53-17,100098,36,1300,Revolving loans,M,225000.0,270000.0,13500.0,270000.0,Working,Civil marriage,1,1,23638,53,17,True,True,1.1999946666903702,0.05999973333451852,1.1999946666903702,7.170888478512505,0
10.42.0.151-115.239.210.141-53921-80-6,100099,29,1780,Cash loans,F,360000.0,733315.5,41076.0,679500.0,Pensioner,Separated,1,1,53921,80,6,True,False,2.036981841717106,0.11409968305643596,1.8874947569590084,7.484930283289661,0
180.76.141.48-10.42.0.151-80-43415-6,100100,42,1910,Cash loans,M,202500.0,796396.5,38443.5,643500.0,Working,Married,0,0,80,43415,6,False,True,3.9328028009738225,0.18984350694564472,3.1777620851255057,7.555381944240273,0
203.205.147.229-10.42.0.151-80-50839-6,100101,28,1270,Cash loans,F,202500.0,343377.0,22072.5,283500.0,State servant,Single / not married,0,0,80,50839,6,False,True,1.69568051515795,0.10899946173105318,1.399993086453894,7.147559271189454,0
219.142.78.162-10.42.0.211-80-54632-6,100102,39,5367,Cash loans,F,126000.0,327024.0,10264.5,270000.0,Working,Single / not married,1,1,80,54632,6,False,True,2.5954079729525956,0.08146363917746685,2.1428401361893954,8.588210678651517,0
192.229.173.173-10.42.0.42-80-55313-6,100103,32,4040,Cash loans,F,72000.0,450000.0,16965.0,450000.0,Working,Married,0,0,80,55313,6,False,True,6.24991319565006,0.23562172747600726,6.24991319565006,8.304247465078474,0
203.205.179.172-10.42.0.151-80-44515-6,100104,31,250400,Cash loans,F,90000.0,547344.0,30690.0,472500.0,Working,Married,0,0,80,44515,6,False,True,6.081532427417473,0.3409962111532094,5.249941667314808,12.430818911810329,0
172.217.10.238-10.42.0.211-443-44219-6,100105,20,50550,Cash loans,F,193500.0,225000.0,23755.5,225000.0,Working,Married,0,0,443,44219,6,False,True,1.1627846884512225,0.12276680740668007,1.1627846884512225,10.830738006646618,0
182.22.25.252-10.42.0.151-80-47256-6,100108,34,2376,Cash loans,F,171000.0,545040.0,31288.5,450000.0,Working,Married,0,0,80,47256,6,False,True,3.1873497815802248,0.18297261419523864,2.6315635581078474,7.773594467360194,0
10.42.0.211-66.198.24.250-35798-443-6,100110,46,640,Cash loans,M,135000.0,373140.0,25065.0,337500.0,Commercial associate,Married,0,0,35798,443,6,True,False,2.7639795260775846,0.18566529136821208,2.4999814816186547,6.46302945692067,0
10.42.0.211-106.11.92.16-58498-443-6,100111,47,1662,Cash loans,F,112500.0,862560.0,27954.0,720000.0,Commercial associate,Married,0,0,58498,443,6,True,False,7.6671318477169095,0.2484777913085217,6.3999431116167855,7.416378479192928,0
172.217.9.227-10.42.0.151-443-52845-6,100112,44,1662,Cash loans,M,315000.0,953460.0,64107.0,900000.0,Commercial associate,Single / not married,0,0,443,52845,6,False,True,3.026847533817353,0.20351363963923924,2.857133786876867,7.416378479192928,0
10.42.0.42-52.88.110.117-57651-443-6,100113,31,1088,Cash loans,M,76500.0,135000.0,6696.0,135000.0,Working,Single / not married,1,1,57651,443,6,True,False,1.7646828146037308,0.08752826760434504,1.7646828146037308,6.9930151229329605,0
10.42.0.211-64.4.23.155-60774-40019-17,100114,23,1250,Cash loans,F,135000.0,284400.0,22599.0,225000.0,Commercial associate,Single / not married,1,1,60774,40019,17,True,False,2.106651061843986,0.1673987600091851,1.6666543210791032,7.1316985104669115,0
10.42.0.211-65.55.118.92-33453-80-6,100115,33,1090,Cash loans,F,90000.0,315000.0,14683.5,315000.0,Working,Married,1,1,33453,80,6,True,False,3.499961111543205,0.16314818724236396,3.499961111543205,6.994849985833071,0
10.42.0.211-10.42.0.1-8663-53-17,100116,41,1640,Cash loans,F,243000.0,900000.0,32017.5,900000.0,Working,Married,0,0,8663,53,17,True,True,3.7036884621873982,0.1317587170423167,3.7036884621873982,7.403061091090091,0
10.42.0.211-10.42.0.1-52178-53-17,100118,60,800,Cash loans,F,90000.0,675000.0,26541.0,675000.0,Pensioner,Widow,1,1,52178,53,17,True,True,7.499916667592582,0.2948967233697403,7.499916667592582,6.68586094706836,0
10.42.0.211-66.198.24.250-44109-443-6,100119,31,2180,Revolving loans,F,54000.0,180000.0,9000.0,180000.0,Working,Married,0,0,44109,443,6,True,False,3.333271606081369,0.16666358030406844,3.333271606081369,7.687538766201629,0
10.42.0.151-54.239.17.113-58517-443-6,100120,37,1640,Cash loans,F,135000.0,781920.0,28215.0,675000.0,Working,Married,0,0,58517,443,6,True,False,5.791957096614099,0.20899845186331953,4.9999629632373095,7.403061091090091,0
10.42.0.211-63.251.88.56-45837-443-6,100121,39,1380,Cash loans,M,126000.0,787131.0,26145.0,679500.0,Working,Married,1,1,45837,443,6,True,False,6.2470218490329446,0.20749835318767312,5.3928143427433115,7.2305631534092925,0
172.217.6.234-10.42.0.211-443-53614-6,100122,40,2180,Cash loans,F,76500.0,808650.0,26217.0,675000.0,Commercial associate,Married,1,1,443,53614,6,False,True,10.570450059476347,0.3427014025960445,8.823414073018654,7.687538766201629,0
10.42.0.1-10.42.0.42-53-45321-17,100123,42,1550,Cash loans,F,103500.0,675000.0,19737.0,675000.0,Working,Widow,1,1,53,45321,17,True,True,6.521676119071313,0.1906938097216452,6.521676119071313,7.346655163176539,0
172.217.6.202-10.42.0.151-443-60794-6,100124,35,2070,Cash loans,M,225000.0,448272.0,28647.0,396000.0,Pensioner,Widow,1,1,443,60794,6,False,True,1.9923111452837987,0.1273194341358483,1.7599921778125431,7.635786861395585,0
172.217.6.206-10.42.0.151-443-36065-6,100125,41,250,Cash loans,F,126000.0,263686.5,26208.0,238500.0,Pensioner,Married,1,1,443,36065,6,False,True,2.0927333910048334,0.20799834921945065,1.8928421203006325,5.5254529391317835,0
172.217.10.110-10.42.0.151-443-38248-6,100126,23,250,Revolving loans,M,135000.0,180000.0,9000.0,180000.0,Working,Married,0,0,443,38248,6,False,True,1.3333234568632826,0.06666617284316413,1.3333234568632826,5.5254529391317835,0
10.42.0.211-10.42.0.1-1369-53-17,100127,31,1040,Cash loans,M,112500.0,52128.0,5341.5,45000.0,Pensioner,Married,1,1,1369,53,17,True,True,0.46335588128105526,0.04747957795930703,0.3999964444760491,6.947937068614969,0
203.205.158.53-10.42.0.151-80-52191-6,100129,42,2180,Revolving loans,F,85500.0,135000.0,6750.0,135000.0,Working,Married,0,0,80,52191,6,False,True,1.5789289014163577,0.07894644507081788,1.5789289014163577,7.687538766201629,0
180.214.225.197-10.42.0.211-2834-60774-17,100130,29,1240,Cash loans,F,157500.0,723996.0,30802.5,585000.0,Commercial associate,Separated,0,0,2834,60774,17,False,True,4.596770814153561,0.19557018685595648,3.714262131669005,7.123672785204607,0
10.42.0.151-91.190.219.146-51308-443-6,100131,30,1380,Cash loans,F,270000.0,891072.0,45625.5,720000.0,Commercial associate,Single / not married,0,0,51308,443,6,True,False,3.300254443502061,0.1689827074714538,2.6666567901600366,7.2305631534092925,0
192.229.173.173-10.42.0.42-80-55314-6,100132,41,1285,Cash loans,F,202500.0,1136439.0,73611.0,1089000.0,Commercial associate,Widow,0,0,80,55314,6,False,True,5.612016730781576,0.36350931600337777,5.377751220981625,7.1592919047975645,0
10.42.0.1-10.42.0.42-53-17914-17,100133,40,4665,Cash loans,F,67500.0,384048.0,18810.0,270000.0,Working,Civil marriage,1,1,53,17914,17,True,True,5.689515710878357,0.27866253833276544,3.9999407416186425,8.448057452581375,0
