Account_Id,Trans_Id,Age,Followers,NAME_CONTRACT_TYPE,GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,Label
183.79.248.124-10.42.0.151-443-53691-6,100020,38,525,Cash loans,M,108000,509602.5,26149.5,387000,Working,Married,0
172.217.6.206-10.42.0.151-80-41751-6,100021,34,1270,Revolving loans,F,81000,270000,13500,270000,Working,Married,0
10.42.0.211-10.42.0.1-7624-53-17,100022,34,600,Revolving loans,F,112500,157500,7875,157500,Working,Widow,0
10.42.0.151-10.42.0.1-38287-53-17,100023,37,1040,Cash loans,F,90000,544491,17563.5,454500,State servant,Single / not married,0
10.42.0.211-10.42.0.1-31661-53-17,100024,35,1670,Revolving loans,M,135000,427500,21375,427500,Working,Married,1
10.42.0.211-74.6.105.9-49909-80-6,100025,41,250,Cash loans,F,202500,1132573.5,37561.5,927000,Commercial associate,Married,1
10.42.0.211-10.42.0.1-60718-53-17,100026,28,250,Cash loans,F,450000,497520,32521.5,450000,Working,Married,0
10.42.0.211-10.42.0.1-30398-53-17,100027,27,1440,Cash loans,F,83250,239850,23850,225000,Pensioner,Married,1
10.42.0.151-54.192.38.65-42812-443-6,100029,39,216,Cash loans,M,135000,247500,12703.5,247500,Working,Married,0
174.35.73.111-10.42.0.211-80-51177-6,100030,27,600,Cash loans,F,90000,225000,11074.5,225000,Working,Married,0
10.42.0.211-10.42.0.1-36086-53-17,100031,31,1340,Cash loans,F,112500,979992,27076.5,702000,Working,Widow,0
10.42.0.42-42.236.125.112-48507-80-6,100032,33,3020,Cash loans,M,112500,327024,23827.5,270000,Working,Married,1
205.185.216.42-10.42.0.211-80-47181-6,100033,29,950,Cash loans,M,270000,790830,57676.5,675000,State servant,Single / not married,0
10.42.0.211-74.6.105.13-58841-443-6,100034,26,1280,Revolving loans,M,90000,180000,9000,180000,Working,Single / not married,0
180.163.15.184-10.42.0.42-80-58579-6,100035,37,1040,Cash loans,F,292500,665892,24592.5,477000,Commercial associate,Civil marriage,0
174.129.238.86-10.42.0.211-443-35532-6,100036,26,1040,Cash loans,F,112500,512064,25033.5,360000,Working,Civil marriage,0
172.217.12.206-10.42.0.151-443-33781-6,100037,24,450,Cash loans,F,90000,199008,20893.5,180000,Working,Civil marriage,1
10.42.0.211-40.117.145.132-47493-443-6,100039,57,520,Cash loans,M,360000,733315.5,39069,679500,Commercial associate,Married,0
172.217.12.202-10.42.0.211-443-46886-6,100040,27,1140,Cash loans,F,135000,1125000,32895,1125000,State servant,Married,1
10.42.0.211-119.146.74.33-54402-443-6,100041,40,2857,Cash loans,F,112500,450000,44509.5,450000,Working,Married,0
203.205.147.229-10.42.0.211-80-58480-6,100043,33,2790,Cash loans,F,198000,641173.5,23157,553500,Commercial associate,Married,1
10.42.0.211-58.63.236.212-46650-443-6,100044,40,1070,Cash loans,M,121500,454500,15151.5,454500,Working,Married,0
140.205.164.47-10.42.0.211-443-58825-6,100045,42,433,Cash loans,F,99000,247275,17338.5,225000,Pensioner,Married,1
10.42.0.211-66.231.239.96-41453-80-6,100046,33,0,Revolving loans,M,180000,540000,27000,540000,Working,Married,0
10.42.0.42-54.230.36.186-47194-443-6,100047,34,1290,Cash loans,M,202500,1193580,35028,855000,Commercial associate,Married,1
172.217.12.206-10.42.0.151-443-58146-6,100048,23,1270,Cash loans,F,202500,604152,29196,540000,Working,Married,0
10.42.0.211-64.71.142.124-57270-443-6,100049,59,2010,Cash loans,F,135000,288873,16258.5,238500,Working,Civil marriage,0
219.142.78.162-10.42.0.151-80-54612-6,100050,24,1370,Cash loans,F,108000,746280,42970.5,675000,Pensioner,Single / not married,1
10.42.0.211-104.97.95.172-48477-80-6,100051,44,1380,Cash loans,M,202500,661702.5,48280.5,598500,Working,Civil marriage,0
10.42.0.211-103.7.30.118-34093-80-6,100052,50,1380,Revolving loans,F,90000,180000,9000,180000,Working,Civil marriage,0
10.42.0.151-104.193.88.109-48416-80-6,100053,37,1380,Cash loans,F,202500,305221.5,17649,252000,Pensioner,Single / not married,1
10.42.0.211-10.42.0.1-61516-53-17,100054,40,1380,Cash loans,F,99000,260640,26838,225000,Working,Married,0
10.42.0.1-10.42.0.42-53-6306-17,100055,30,1662,Cash loans,F,130500,1350000,37255.5,1350000,State servant,Married,1
172.217.11.34-10.42.0.211-443-57957-6,100056,56,1662,Cash loans,M,360000,1506816,49927.5,1350000,Working,Married,1
10.42.0.211-31.13.71.3-36726-443-6,100058,20,5764,Revolving loans,F,54000,135000,6750,135000,State servant,Married,1
10.42.0.151-104.244.43.99-41235-443-6,100059,31,250,Cash loans,M,540000,675000,34596,675000,Commercial associate,Married,0
172.217.12.142-10.42.0.211-443-55817-6,100060,40,5764,Cash loans,M,76500,454500,14661,454500,Working,Married,1
172.217.6.193-10.42.0.211-443-42975-6,100061,30,5764,Cash loans,F,225000,314055,16164,238500,Commercial associate,Married,0
10.42.0.211-10.42.0.1-11261-53-17,100062,39,5764,Cash loans,M,81000,675000,32472,675000,Pensioner,Married,0
10.42.0.211-77.234.44.199-32795-80-6,100063,26,1712,Cash loans,F,180000,837427.5,45558,666000,Working,Married,0
172.217.12.142-10.42.0.42-443-40997-17,100064,29,5764,Cash loans,F,67500,298728,15381,202500,Pensioner,Single / not married,0
172.217.12.206-10.42.0.151-443-41753-6,100068,40,2429,Revolving loans,M,81000,247500,12375,247500,Working,Married,1
10.42.0.211-121.12.98.62-47804-80-6,100069,27,3687,Cash loans,M,360000,640458,27265.5,517500,Working,Separated,0
10.42.0.151-101.226.103.112-34762-80-6,100070,40,1680,Cash loans,M,540000,1227901.5,46899,1129500,Working,Widow,1
172.217.10.67-10.42.0.151-443-50727-6,100071,50,9290,Cash loans,F,180000,1663987.5,86989.5,1588500,Commercial associate,Married,0
10.42.0.151-54.192.38.230-41259-443-6,100072,25,250,Cash loans,M,180000,1080000,44118,1080000,Working,Single / not married,0
222.73.28.96-10.42.0.211-80-36911-6,100073,28,27065,Cash loans,M,324000,1130760,40189.5,810000,Pensioner,Civil marriage,0
180.76.151.225-10.42.0.42-80-51631-6,100075,35,1090,Cash loans,F,112500,95940,10462.5,90000,Working,Single / not married,0
203.205.151.47-10.42.0.151-80-34427-6,100076,34,250,Cash loans,M,180000,315000,9679.5,315000,Commercial associate,Married,1
10.42.0.42-113.108.216.233-44480-80-6,100077,31,915,Cash loans,M,180000,1256400,40657.5,900000,Commercial associate,Single / not married,0
10.42.0.211-10.42.0.1-26725-53-17,100078,27,4460,Cash loans,F,180000,1035000,43983,1035000,State servant,Married,1
10.42.0.1-10.42.0.42-53-28340-17,100079,27,1806,Revolving loans,M,225000,270000,13500,270000,Working,Separated,1
8.0.6.4-8.6.0.1-0-0-0,100080,30,10031,Revolving loans,F,157500,450000,22500,450000,Commercial associate,Civil marriage,1
10.42.0.211-123.125.115.164-46706-443-6,100081,30,1410,Cash loans,M,180000,450000,21109.5,450000,Commercial associate,Civil marriage,0
172.217.12.142-10.42.0.211-443-58864-6,100082,50,250,Cash loans,M,180000,450000,21109.5,450000,Commercial associate,Married,0
172.217.12.194-10.42.0.211-443-37446-6,100083,34,250,Cash loans,M,103500,573628.5,24435,463500,Working,Married,0
10.42.0.211-10.42.0.1-18795-53-17,100084,41,5335,Cash loans,M,225000,495351,26140.5,459000,Working,Separated,0
10.42.0.42-123.125.29.138-42230-443-6,100085,32,1470,Cash loans,M,157500,755190,28894.5,675000,Working,Married,0
157.55.56.174-10.42.0.42-40022-46360-17,100086,50,3880,Cash loans,F,135000,675000,21775.5,675000,Commercial associate,Widow,0
198.11.136.24-10.42.0.42-443-44354-6,100087,38,1025,Cash loans,F,202500,1288350,37800,1125000,Working,Married,1
10.42.0.211-10.42.0.1-62939-53-17,100088,29,1950,Revolving loans,F,112500,135000,6750,135000,Commercial associate,Married,0
216.58.219.196-10.42.0.42-443-45664-6,100089,35,1090,Cash loans,M,135000,337761,15781.5,256500,Working,Civil marriage,0
10.42.0.211-10.42.0.1-35511-53-17,100093,25,1550,Cash loans,F,94500,585000,28273.5,585000,Working,Married,0
10.42.0.211-106.39.162.36-47297-80-6,100094,30,1300,Cash loans,F,108000,113760,5301,90000,Pensioner,Single / not married,1
172.217.10.10-10.42.0.151-443-51360-6,100095,47,1200,Revolving loans,F,67500,135000,6750,135000,Working,Married,1
172.217.10.42-10.42.0.211-443-50132-6,100096,35,1902,Cash loans,F,81000,252000,14593.5,252000,Pensioner,Married,1
183.79.249.124-10.42.0.151-443-44500-6,100097,25,50,Cash loans,M,157500,760225.5,30280.5,679500,Working,Married,0
10.42.0.151-10.42.0.1-23638-53-17,100098,36,1300,Revolving loans,M,225000,270000,13500,270000,Working,Civil marriage,1
10.42.0.151-115.239.210.141-53921-80-6,100099,29,1780,Cash loans,F,360000,733315.5,41076,679500,Pensioner,Separated,1
180.76.141.48-10.42.0.151-80-43415-6,100100,42,1910,Cash loans,M,202500,796396.5,38443.5,643500,Working,Married,0
203.205.147.229-10.42.0.151-80-50839-6,100101,28,1270,Cash loans,F,202500,343377,22072.5,283500,State servant,Single / not married,0
219.142.78.162-10.42.0.211-80-54632-6,100102,39,5367,Cash loans,F,126000,327024,10264.5,270000,Working,Single / not married,1
192.229.173.173-10.42.0.42-80-55313-6,100103,32,4040,Cash loans,F,72000,450000,16965,450000,Working,Married,0
203.205.179.172-10.42.0.151-80-44515-6,100104,31,250400,Cash loans,F,90000,547344,30690,472500,Working,Married,0
172.217.10.238-10.42.0.211-443-44219-6,100105,20,50550,Cash loans,F,193500,225000,23755.5,225000,Working,Married,0
182.22.25.252-10.42.0.151-80-47256-6,100108,34,2376,Cash loans,F,171000,545040,31288.5,450000,Working,Married,0
10.42.0.211-66.198.24.250-35798-443-6,100110,46,640,Cash loans,M,135000,373140,25065,337500,Commercial associate,Married,0
10.42.0.211-106.11.92.16-58498-443-6,100111,47,1662,Cash loans,F,112500,862560,27954,720000,Commercial associate,Married,0
172.217.9.227-10.42.0.151-443-52845-6,100112,44,1662,Cash loans,M,315000,953460,64107,900000,Commercial associate,Single / not married,0
10.42.0.42-52.88.110.117-57651-443-6,100113,31,1088,Cash loans,M,76500,135000,6696,135000,Working,Single / not married,1
10.42.0.211-64.4.23.155-60774-40019-17,100114,23,1250,Cash loans,F,135000,284400,22599,225000,Commercial associate,Single / not married,1
10.42.0.211-65.55.118.92-33453-80-6,100115,33,1090,Cash loans,F,90000,315000,14683.5,315000,Working,Married,1
10.42.0.211-10.42.0.1-8663-53-17,100116,41,1640,Cash loans,F,243000,900000,32017.5,900000,Working,Married,0
10.42.0.211-10.42.0.1-52178-53-17,100118,60,800,Cash loans,F,90000,675000,26541,675000,Pensioner,Widow,1
10.42.0.211-66.198.24.250-44109-443-6,100119,31,2180,Revolving loans,F,54000,180000,9000,180000,Working,Married,0
10.42.0.151-54.239.17.113-58517-443-6,100120,37,1640,Cash loans,F,135000,781920,28215,675000,Working,Married,0
10.42.0.211-63.251.88.56-45837-443-6,100121,39,1380,Cash loans,M,126000,787131,26145,679500,Working,Married,1
172.217.6.234-10.42.0.211-443-53614-6,100122,40,2180,Cash loans,F,76500,808650,26217,675000,Commercial associate,Married,1
10.42.0.1-10.42.0.42-53-45321-17,100123,42,1550,Cash loans,F,103500,675000,19737,675000,Working,Widow,1
172.217.6.202-10.42.0.151-443-60794-6,100124,35,2070,Cash loans,M,225000,448272,28647,396000,Pensioner,Widow,1
172.217.6.206-10.42.0.151-443-36065-6,100125,41,250,Cash loans,F,126000,263686.5,26208,238500,Pensioner,Married,1
172.217.10.110-10.42.0.151-443-38248-6,100126,23,250,Revolving loans,M,135000,180000,9000,180000,Working,Married,0
10.42.0.211-10.42.0.1-1369-53-17,100127,31,1040,Cash loans,M,112500,52128,5341.5,45000,Pensioner,Married,1
203.205.158.53-10.42.0.151-80-52191-6,100129,42,2180,Revolving loans,F,85500,135000,6750,135000,Working,Married,0
180.214.225.197-10.42.0.211-2834-60774-17,100130,29,1240,Cash loans,F,157500,723996,30802.5,585000,Commercial associate,Separated,0
10.42.0.151-91.190.219.146-51308-443-6,100131,30,1380,Cash loans,F,270000,891072,45625.5,720000,Commercial associate,Single / not married,0
192.229.173.173-10.42.0.42-80-55314-6,100132,41,1285,Cash loans,F,202500,1136439,73611,1089000,Commercial associate,Widow,0
10.42.0.1-10.42.0.42-53-17914-17,100133,40,4665,Cash loans,F,67500,384048,18810,270000,Working,Civil marriage,1
183.79.248.124-10.42.0.211-443-40429-6,100134,34,1090,Revolving loans,F,202500,180000,9000,180000,Commercial associate,Married,0
10.42.0.211-52.84.136.193-58208-443-6,100135,31,3000,Cash loans,M,135000,391194,26271,319500,Commercial associate,Married,0
10.42.0.42-98.137.201.232-43784-443-6,100136,27,2045,Cash loans,M,157500,1571931,49356,1435500,State servant,Married,0
203.205.151.47-10.42.0.151-80-38354-6,100137,30,3294,Cash loans,F,225000,891072,45625.5,720000,Pensioner,Married,0
10.42.0.151-121.12.98.64-33799-80-6,100138,27,3480,Cash loans,M,135000,824823,29223,688500,Pensioner,Married,0
10.42.0.211-104.69.158.16-50404-443-6,100139,36,2856,Cash loans,F,157500,302341.5,24016.5,261000,Working,Married,1
199.59.148.73-10.42.0.151-443-46743-6,100140,35,600,Revolving loans,F,157500,675000,33750,675000,Commercial associate,Married,1
10.42.0.211-10.42.0.1-32495-53-17,100142,34,2340,Cash loans,M,360000,579195,27994.5,468000,State servant,Civil marriage,0
10.42.0.42-54.230.38.132-57122-443-6,100143,37,2340,Revolving loans,M,162000,270000,13500,270000,State servant,Married,1
10.42.0.211-10.42.0.1-39375-53-17,100144,27,2340,Cash loans,F,112500,535500,30028.5,535500,Working,Separated,0
172.217.12.170-10.42.0.151-443-36071-6,100145,47,2340,Cash loans,F,202500,260725.5,16789.5,198000,Working,Separated,1
10.42.0.151-10.42.0.1-20479-53-17,100146,28,1940,Cash loans,M,117000,327024,12456,270000,Pensioner,Married,1
10.42.0.42-64.71.142.125-54720-443-6,100147,40,1940,Cash loans,F,135000,518562,22099.5,463500,Working,Married,0
10.42.0.42-64.71.142.124-57153-80-6,100148,30,2210,Cash loans,F,247500,755190,36459,675000,Commercial associate,Married,0
203.205.158.63-10.42.0.211-80-51833-6,100149,38,1370,Cash loans,M,171000,539590.5,26374.5,445500,Working,Married,0
172.217.10.78-10.42.0.151-443-38588-6,100151,30,4530,Cash loans,M,135000,182016,11772,144000,Commercial associate,Single / not married,1
172.217.10.10-10.42.0.151-443-56757-6,100152,28,600,Cash loans,F,157500,254412,9720,166500,Working,Married,1
172.217.11.46-10.42.0.151-443-58290-6,100153,28,1210,Cash loans,M,202500,1107981,32526,967500,Working,Married,0
172.217.10.131-10.42.0.151-443-54171-6,100154,35,1540,Revolving loans,M,144000,180000,9000,180000,Working,Married,0
10.42.0.151-10.42.0.1-60174-53-17,100155,32,1090,Cash loans,M,157500,675000,21906,675000,Working,Married,0
10.42.0.211-104.192.110.245-33455-80-6,100156,36,1517,Cash loans,F,157500,945000,39127.5,945000,Commercial associate,Married,0
172.217.10.142-10.42.0.151-443-38828-6,100157,24,2900,Cash loans,M,180000,1755000,61132.5,1755000,Working,Married,0
10.42.0.211-113.108.216.233-57459-80-6,100158,27,1090,Cash loans,M,180000,590337,27486,477000,Commercial associate,Married,0
157.56.52.23-10.42.0.42-40033-57785-6,100159,34,2288,Cash loans,F,225000,1515415.5,41800.5,1354500,Commercial associate,Married,0
10.42.0.1-10.42.0.42-53-40823-17,100160,31,600,Cash loans,M,292500,675000,36747,675000,Working,Married,1
172.217.11.8-10.42.0.151-443-41145-6,100161,30,600,Cash loans,F,90000,370629,13972.5,306000,Commercial associate,Married,1
10.42.0.211-23.208.168.108-60793-443-6,100162,30,1640,Cash loans,F,112500,547344,18216,472500,Pensioner,Single / not married,1
172.217.10.46-10.42.0.151-443-35399-6,100163,31,1270,Cash loans,F,130500,550489.5,19773,454500,Working,Separated,0
172.217.12.131-10.42.0.151-443-34211-6,100164,30,1640,Cash loans,F,450000,407434.5,43362,387000,Commercial associate,Civil marriage,0
239.255.255.250-10.42.0.1-1900-35615-17,100165,28,250,Cash loans,F,175500,1293502.5,35568,1129500,Pensioner,Married,0
172.217.12.163-10.42.0.151-443-60319-6,100166,28,250,Cash loans,F,58500,152820,15241.5,135000,Working,Married,1
10.42.0.151-10.42.0.1-35115-53-17,100167,29,50,Cash loans,F,180000,427500,46170,427500,Commercial associate,Civil marriage,0
10.42.0.211-10.42.0.1-5268-53-17,100173,46,250,Cash loans,F,117000,781920,26725.5,675000,Working,Single / not married,1
172.217.10.46-10.42.0.151-443-36662-6,100174,31,1910,Revolving loans,F,180000,225000,11250,225000,Working,Married,0
10.42.0.211-23.21.51.186-53657-443-6,100175,28,5201,Cash loans,F,202500,1251072,45067.5,1080000,Working,Civil marriage,0
10.42.0.1-10.42.0.42-53-3110-17,100176,31,12187,Cash loans,F,135000,1078200,31653,900000,Working,Married,1
172.217.11.2-10.42.0.151-443-38793-6,100177,37,1590,Cash loans,M,112500,312682.5,33309,297000,Working,Civil marriage,0
180.149.138.210-10.42.0.42-80-46920-6,100178,34,1294,Cash loans,F,119250,679500,28917,679500,Working,Separated,1
172.217.11.35-10.42.0.151-443-46160-6,100179,25,3132,Cash loans,F,202500,675000,53329.5,675000,Commercial associate,Married,0
140.205.62.20-10.42.0.42-443-54679-6,100180,40,1340,Cash loans,F,315000,1288350,37800,1125000,Commercial associate,Married,1
10.42.0.211-52.84.29.154-52852-443-6,100181,43,4788,Cash loans,F,157500,245619,12667.5,166500,Working,Single / not married,0
10.42.0.211-31.13.71.36-38075-443-6,100182,36,3110,Revolving loans,F,112500,135000,6750,135000,Working,Separated,0
10.42.0.211-10.42.0.1-40877-53-17,100183,29,720,Cash loans,F,103500,239850,23494.5,225000,Pensioner,Separated,0
10.42.0.211-104.193.88.109-52193-80-6,100185,35,1100,Cash loans,M,58500,187704,10903.5,148500,Pensioner,Married,0
10.42.0.151-10.42.0.1-55783-53-17,100186,34,2586,Cash loans,F,117000,269550,13095,225000,Pensioner,Single / not married,0
10.42.0.211-123.125.29.138-51217-80-6,100188,32,1820,Cash loans,F,225000,1325475,56290.5,1125000,Working,Married,0
10.42.0.1-10.42.0.42-53-10025-17,100189,27,1397,Cash loans,F,135000,263844,14440.5,189000,Working,Separated,0
172.217.12.206-10.42.0.151-443-54164-6,100190,29,0,Cash loans,M,162000,263686.5,24781.5,238500,Commercial associate,Married,0
10.42.0.211-104.88.106.21-37650-80-6,100191,34,1370,Cash loans,F,112500,544491,17563.5,454500,Working,Separated,1
10.42.0.211-10.42.0.1-36278-53-17,100192,37,1235,Cash loans,F,111915,225000,21037.5,225000,Commercial associate,Single / not married,0
172.217.12.142-10.42.0.42-443-56977-6,100193,33,1090,Cash loans,F,225000,296280,15124.5,225000,Commercial associate,Separated,0
10.42.0.151-10.42.0.1-22877-53-17,100194,33,5180,Revolving loans,F,157500,315000,15750,315000,Working,Civil marriage,0
10.42.0.151-104.244.42.65-40442-443-6,100195,39,1280,Cash loans,M,90000,336150,9373.5,202500,Commercial associate,Single / not married,0
10.42.0.211-77.234.44.41-37566-80-6,100196,34,1430,Cash loans,F,164250,755190,32125.5,675000,Working,Married,0
10.42.0.211-104.192.110.245-33715-80-6,100197,32,1240,Cash loans,F,157500,497520,28692,450000,Working,Married,0
172.217.12.206-10.42.0.151-443-46815-6,100198,34,450,Cash loans,M,135000,531000,32616,531000,Working,Married,0
172.217.3.106-10.42.0.211-443-40854-6,100199,29,-2056,Cash loans,F,112500,269550,18891,225000,Working,Married,0
10.42.0.211-10.42.0.1-55547-53-17,100200,28,2272,Cash loans,F,216000,450000,27193.5,450000,Working,Widow,1
172.217.3.109-10.42.0.151-443-38761-6,100201,28,2370,Cash loans,F,180000,675000,36747,675000,Commercial associate,Single / not married,0
10.42.0.211-104.209.188.76-35758-443-6,100202,35,7082,Cash loans,F,67500,127350,6597,112500,Pensioner,Single / not married,1
192.229.163.180-10.42.0.211-443-41139-6,100203,40,1115,Cash loans,F,54000,119925,11097,112500,Pensioner,Widow,1
10.42.0.211-123.125.115.164-42498-443-6,100204,27,9105,Cash loans,F,81000,532494,30699,454500,Pensioner,Married,1
10.42.0.211-10.42.0.1-34350-53-17,100205,26,1551,Cash loans,F,63000,808650,26217,675000,Working,Married,0
172.217.12.170-10.42.0.42-443-43189-6,100206,43,4359,Cash loans,M,157500,318528,25294.5,252000,Commercial associate,Married,0
10.42.0.151-10.42.0.1-27682-53-17,100207,23,2095,Cash loans,F,157500,700830,22738.5,585000,Working,Civil marriage,1
10.42.0.211-52.84.134.149-53788-443-6,100208,29,2375,Cash loans,M,180000,888840,29016,675000,Commercial associate,Civil marriage,0
10.42.0.211-104.119.40.238-60340-443-6,100209,43,693,Revolving loans,M,180000,540000,27000,540000,Commercial associate,Married,1
10.42.0.211-69.147.82.60-38004-443-6,100210,27,1654,Cash loans,F,202500,771493.5,25627.5,666000,Working,Separated,0
172.217.3.35-10.42.0.211-443-52566-6,100211,26,250,Cash loans,M,225000,746280,49873.5,675000,Commercial associate,Married,0
10.42.0.1-10.42.0.42-53-15972-17,100213,31,250,Cash loans,F,49500,278460,19930.5,225000,Working,Married,0
10.42.0.42-104.192.110.245-36022-80-6,100214,40,1190,Cash loans,F,202500,436032,28516.5,360000,Commercial associate,Civil marriage,1
220.243.235.201-10.42.0.42-80-45827-6,100215,39,1540,Cash loans,F,90000,227520,8172,180000,Pensioner,Civil marriage,1
10.42.0.1-10.42.0.42-53-31950-17,100216,30,1250,Cash loans,F,90000,67500,6705,67500,Working,Married,0
151.101.21.140-10.42.0.211-443-56713-6,100217,47,3100,Cash loans,F,180000,254700,25321.5,225000,Working,Separated,0
172.217.10.142-10.42.0.211-443-34889-6,100218,34,600,Cash loans,M,337500,876078,49050,765000,Commercial associate,Single / not married,0
10.42.0.211-52.84.6.107-50535-443-6,100219,33,1782,Cash loans,M,315000,2250000,83515.5,2250000,Commercial associate,Married,1
222.73.28.96-10.42.0.211-80-48020-6,100220,41,1782,Cash loans,F,225000,1040985,30568.5,909000,Commercial associate,Single / not married,0
183.79.250.251-10.42.0.211-443-47402-6,100221,29,2589,Cash loans,F,225000,684054,77494.5,630000,Commercial associate,Widow,1
172.217.12.193-10.42.0.211-443-51335-6,100224,32,1782,Cash loans,F,225000,1256400,36864,900000,Commercial associate,Married,0
180.149.153.68-10.42.0.211-80-55229-6,100225,47,1588,Cash loans,M,157500,720000,28552.5,720000,Commercial associate,Married,0
10.42.0.211-121.12.98.62-45489-80-6,100226,35,1588,Revolving loans,F,112500,270000,13500,270000,Working,Married,0
172.217.3.99-10.42.0.151-443-41857-6,100227,27,10625,Cash loans,M,292500,1024740,55719,900000,Working,Single / not married,0
10.42.0.211-106.11.30.199-37158-80-6,100228,29,1698,Cash loans,F,121500,1102500,32364,1102500,State servant,Married,0
10.42.0.211-64.71.142.95-57969-443-6,100229,36,1630,Cash loans,F,157500,544491,16047,454500,Working,Married,0
172.217.10.110-10.42.0.151-443-39545-6,100230,35,3000,Revolving loans,F,135000,405000,20250,405000,Working,Married,0
10.42.0.1-10.42.0.42-53-5595-17,100231,34,640,Cash loans,M,108000,912240,30276,787500,Commercial associate,Married,0
10.42.0.211-10.42.0.1-32923-53-17,100233,34,2018,Cash loans,F,216000,679671,28926,607500,Working,Married,1
10.42.0.1-10.42.0.42-53-45751-17,100234,39,840,Revolving loans,F,67500,180000,9000,180000,Working,Widow,1
172.217.11.10-10.42.0.151-443-59675-6,100235,26,840,Cash loans,F,135000,364896,19926,315000,Working,Married,1
172.217.10.66-10.42.0.211-443-41973-6,100236,30,1100,Cash loans,M,112500,312768,20353.5,270000,Working,Married,1
180.149.135.239-10.42.0.42-80-34206-6,100237,31,1565,Cash loans,F,144000,1288350,37800,1125000,Working,Civil marriage,0
220.243.219.55-10.42.0.211-80-58518-6,100238,44,1190,Cash loans,M,135000,781920,50148,675000,Commercial associate,Married,1
182.22.24.252-10.42.0.211-443-52444-6,100239,38,4160,Cash loans,F,225000,1483231.5,51687,1354500,Working,Married,1
8.8.8.8-10.42.0.42-53-48404-17,100240,40,1090,Cash loans,M,135000,590337,28530,477000,Working,Married,0
172.217.12.166-10.42.0.211-443-33500-6,100242,50,450,Cash loans,M,90000,101880,10827,90000,Working,Married,1
10.42.0.151-10.42.0.1-23926-53-17,100243,44,930,Cash loans,M,112500,161730,13833,135000,Working,Married,0
10.42.0.211-31.13.80.52-57396-443-6,100244,23,1090,Cash loans,M,247500,447768,35505,405000,Working,Married,1
183.79.250.123-10.42.0.211-443-33958-6,100246,36,250,Cash loans,F,135000,495216,26995.5,427500,Working,Married,1
8.0.6.4-8.6.0.1-0-0-0,100247,25,250,Cash loans,F,225000,402939,19381.5,306000,Working,Married,1
10.42.0.211-10.42.0.1-50366-53-17,100248,34,250,Cash loans,F,90000,808650,23643,675000,Pensioner,Civil marriage,1
10.42.0.211-10.42.0.1-19843-53-17,100249,28,525,Cash loans,F,67500,76410,4513.5,67500,Working,Married,1
162.208.22.39-10.42.0.151-443-46903-6,100250,30,600,Cash loans,F,72000,90000,6529.5,90000,Working,Married,1
10.42.0.151-64.71.142.120-45937-80-6,100251,35,1090,Cash loans,M,202500,270000,14134.5,270000,Working,Married,0
10.42.0.211-10.42.0.1-53439-53-17,100252,33,4000,Cash loans,F,225000,490495.5,50391,454500,Working,Married,0
